uid,name,gender,ethnicity,rank_2015,age,party_membership_age,rank_2005,edu_2005,gdpidx,gdpidx_1st,gdpidx_2nd,gdpidx_3rd,f2gdpidx,logltavg,gdpidx_rl,gdpidx_1st_rl,gdpidx_2nd_rl,gdpidx_3rd_rl,f2gdpidx_rl,logltavg_rl
1331,洪礼和,1,1,6,51.7041095890411,27.926104652137752,5,4,9.133333333333331,2.200000000000003,12.950000000000003,9.649999999999999,15.333330790201822,0.4989398419857025,-0.5391223879124141,-0.3418486854006161,0.37936479527831823,-0.9647986647146539,1.514996611787688,-0.10640956543419483
1332,金细安,1,1,5,54.706849315068496,30.691673604154182,5,4,15.399999999999999,2.549999999999997,21.200000000000003,15,15.849998474121094,0.9809209704399109,3.1391770910755796,-0.6284888471377197,4.660248484109632,2.904133708308395,-0.5556007682446268,0.09145494525625507
1333,汪德和,1,1,5,55.53972602739729,33.6109589041096,5,5,16.166666666666664,5.399999999999999,21.233333333333334,12.283333333333333,15.733333587646484,1.1986592411994934,-0.20128458507453176,-0.007512456369766653,-0.4932934044077282,-0.7999150787298719,0.37950839710431794,0.07042318962050162
1334,王平(湖南省),1,1,5,48.6191780821918,22.5178082191781,5,5,14.279999999999998,4.639999999999998,18.720000000000002,12.74,13.760000610351563,0.6509402528405189,0.27896625491500837,-0.6901761692449273,0.10028057873461653,0.2303787104773995,0.5580600287802551,0.03955238284683339
1336,刘捷(江苏省),1,1,5,35.5260273972603,8.591780821917801,5,6,9.366666666666665,3.9666666666666686,10.199999999999998,8.800000000000002,4.5,1.6438053448994954,-1.8070551104595909,0.19589809130578636,-2.1389684689552078,-1.569387869882285,-5.781497394459244,-0.10222005314267898
1337,丛文景,1,1,5,42.6164383561644,19.55622124535079,4,5,4.5,3.200000000000003,4,6,NaN,1.599148154258728,-3.7427289366103036,-0.25865950094080364,-5.3162954807510525,-1.6269966533952833,NaN,-0.18960119330321212
1338,董仚生,1,1,6,43.4465753424658,21.4328767123288,4,5,13.371428571428568,5.228571428571426,17.900000000000002,10.642857142857142,12.65000025431315,0.8132546458925519,0.04845134588866876,0.37460903871890444,0.320939838844093,-1.5938725809069616,0.003571217465086989,0.0542436931764389
1339,熊茂平,1,1,5,38.4438356164384,10.7616438356164,4,5,10.299999999999997,4.5,11.599999999999994,9.099999999999994,NaN,1.5257385969161987,0.4812671666404667,0.3533328449514421,0.3182934609390694,0.7238427413434819,NaN,-0.039046954047763247
1340,萧茂普,1,1,5,56.53972602739729,35.7780821917808,5,4,7.5,2.5,12,8.200000000000003,10.799999237060547,0.305939145386219,-0.90897186126538,-0.35534471306865606,1.5903482539755667,-1.0428479996818873,-0.8847272884552354,0.031365724684885764
1341,杨宪萍,1,1,5,51.1232876712329,27.391158832952108,5,5,13.325,5.549999999999997,18.4125,11.375000000000002,13.16249942779541,0.7889543231576681,-0.830040109910219,-0.1683380394422401,-0.6710969950248116,-0.5415476618835684,-0.2247928060209855,0.02799448119402419
1342,陈兴超,1,1,5,42.4465753424658,20.6821917808219,5,5,11.666666666666666,4.433333333333333,12.866666666666665,11.266666666666666,10.300003051757812,1.4359426101048787,0.3472406729878093,-0.15261165375232957,-0.4707970300304712,1.2132992057319154,0.47714505448533634,-0.059402826754359435
1343,王昭悠,1,1,5,57.627397260273995,39.1150684931507,5,3,10.14285714285714,3.2333333333333343,15.683333333333335,12.483333333333334,11.742856706891741,-0.32977211235889364,-0.29262267731471175,0.12151700315525416,-0.1215971244042744,-0.6165728261936858,-0.5727981194063272,0.006850913788653075
1344,冷新生,1,1,5,40.7808219178082,20.5150684931507,3,4,11.633333333333335,4.63333333333333,14.266666666666666,11.800000000000002,10.5,0.6416375041007996,0.5575425985891325,1.0645641633967204,0.3766265706552796,0.05681961868523285,1.7598444905418054,0.049406981514932065
1345,张海如,1,1,6,59.295890410958904,39.8630136986301,6,3,8.424999999999997,2.633333333333335,12.066666666666668,11.666666666666666,10.799999237060547,-0.4104777700267732,0.10567553662329787,0.6915391940829733,-0.5394486115540561,0.06680658653022413,-0.8941018409169978,0.04578611081004123
1346,史文清,1,0,6,50.7890410958904,30.690410958904103,5,6,12.175,4.549999999999997,14.774999999999999,12.75,11.200000762939453,0.627809002995491,0.6072657078785332,0.7833276396689024,0.23070098385672044,0.39153670235571775,1.7230063180854218,0.02609133243066752
1348,蒋斌,1,1,5,37.5287671232877,17.0986301369863,4,4,11.499999999999995,4.6333333333333355,14.133333333333335,10.133333333333331,10.099998474121094,1.0487043460210164,0.4418913757702032,0.20133293302405655,-0.523926941765759,0.850337022765939,0.886023574878043,0.026228396689297585
1349,余小平,1,1,5,52.1232876712329,28.312174040512325,5,4,12.75,1.1999999999999957,22.549999999999997,14.399999999999999,14.299999237060547,-0.030784932896494865,2.7112866347549747,-1.1620885796474882,7.0681912194071135,2.4523803840914624,-0.5404057895643355,-0.050189196218510375
1350,潘东军,1,1,5,42.8657534246575,20.2684931506849,5,4,11.533333333333331,4.166666666666667,14.233333333333334,10.733333333333334,10,0.9625141819318136,0.26405604956650736,0.7061387653201878,-0.12271445810416838,-0.7013037832275844,0.46348216372160206,0.04146881389413714
1351,陈达恒,1,1,6,54.1260273972603,35.8602739726027,6,5,6.549999999999997,0.29999999999999716,2.799999999999997,12.799999999999997,12.75,-0.2846957966685295,-1.2194478787208107,-1.1022092440707687,-7.420724047643895,2.361396981041659,1.774910531941989,0.010231575629655923
