uid,gender,ethnicity,rank_2015,age,party_membership_age,rank_2005,edu_2005
730,1,1,6,52.3753424657534,32.1095890410959,5,5
731,1,1,6,60.8767123287671,31.5232876712329,6,3
732,1,1,6,61.712328767123296,39.7808219178082,6,4
733,1,1,6,58.1287671232877,32.1095890410959,6,5
734,1,1,6,41.2821917808219,20.5150684931507,5,6
735,1,1,6,49.372602739726,29.775342465753397,5,5
736,1,1,6,59.45753424657531,25.772602739725997,6,4
737,1,1,5,55.2109589041096,35.8602739726027,5,4
738,1,1,6,42.6986301369863,22.684931506849303,5,4
739,1,1,5,51.4520547945205,31.1095890410959,5,4
740,1,0,5,48.2876712328767,23.769863013698597,5,4
741,1,1,5,42.2849315068493,20.6,4,6
743,1,0,5,53.1232876712329,29.23318924807254,5,4
744,1,1,5,42.6164383561644,21.0191780821918,5,5
745,1,1,5,51.7041095890411,27.1068493150685,5,5
746,1,1,5,41.6164383561644,19.3534246575342,4,5
747,1,1,5,49.8712328767123,26.6054794520548,5,5
748,1,1,5,49.8712328767123,23.6027397260274,5,5
749,1,1,5,57.7945205479452,31.027397260274,5,4
750,1,1,6,43.0356164383562,18.6821917808219,5,5
751,1,1,6,49.0383561643836,31.194520547945203,5,5
752,1,1,6,50.041095890411,28.6054794520548,4,5
753,1,1,5,51.1232876712329,33.1095890410959,5,4
754,1,1,5,53.2904109589041,33.9452054794521,5,4
755,1,1,5,60.295890410958904,35.83926544914827,5,4
756,1,1,5,47.5342465753425,19.9342465753425,4,5
757,1,1,5,53.3753424657534,31.3616438356164,5,5
758,1,1,5,42.4465753424658,20.5232876712329,5,5
760,1,1,6,58.213698630137,38.9479452054794,6,3
761,1,1,6,43.6986301369863,19.6,5,5
763,0,1,5,45.1178082191781,20.6821917808219,5,5
764,1,1,5,51.2904109589041,28.854794520547898,5,2
765,1,1,5,42.7835616438356,19.7671232876712,5,5
766,1,1,6,55.958904109589,32.6082191780822,6,3
767,0,1,6,55.53972602739729,30.6082191780822,6,4
768,1,1,5,51.7890410958904,28.0246575342466,5,4
769,0,1,5,40.5287671232877,20.3534246575342,5,6
771,1,1,5,41.7835616438356,21.3534246575342,4,6
772,1,1,6,41.8657534246575,16.427397260274,5,5
773,1,1,6,50.9561643835616,31.4383561643836,6,2
774,1,1,5,61.0465753424658,36.53065768715243,5,3
775,1,1,6,52.9561643835616,30.9424657534247,5,4
776,1,1,5,49.5369863013699,31.1095890410959,5,5
777,1,1,5,56.2109589041096,34.3643835616438,5,6
778,1,1,5,49.372602739726,21.6849315068493,4,5
779,1,0,5,49.2054794520548,31.027397260274,5,2
780,1,1,5,41.6164383561644,20.1013698630137,4,5
781,1,1,5,41.6986301369863,11.5095890410959,4,6
783,1,1,5,48.2054794520548,18.6,5,5
784,1,1,5,39.7808219178082,14.098630136986301,4,4
785,1,1,5,45.1178082191781,21.6027397260274,4,6
787,1,1,5,46.786301369863,28.854794520547898,5,4
788,1,1,6,41.4465753424658,21.1013698630137,5,5
789,1,1,5,41.4465753424658,19.9342465753425,5,5
790,1,NA,5,NA,NA,5,5
791,1,1,5,51.1232876712329,28.854794520547898,5,2
792,1,0,5,35.5260273972603,6.673972602739699,4,5
793,1,1,5,53.2082191780822,27.5205479452055,5,3
794,1,NA,5,NA,34.1123287671233,5,3
795,0,1,6,49.7041095890411,22.6027397260274,5,4
796,1,1,5,48.5342465753425,26.9397260273973,4,3
800,1,1,6,42.2849315068493,21.1013698630137,5,4
801,1,1,6,42.8657534246575,20.6,5,6
802,1,1,5,44.7835616438356,22.684931506849303,4,5
803,1,1,6,49.1205479452055,28.6054794520548,5,5
804,1,1,6,41.6986301369863,20.1013698630137,5,6
805,1,1,6,60.1287671232877,29.775342465753397,6,4
806,1,1,7,48.372602739726,27.6054794520548,6,6
807,1,1,6,47.5342465753425,27.4356164383562,5,6
808,1,1,6,50.041095890411,26.9397260273973,6,5
809,1,1,6,55.7917808219178,35.7780821917808,6,3
